Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type
资产,,1000,,1,,Asset
负债,,2000,,1,,Liability
所有者权益,,3000,,1,,Equity
成本,,4000,,1,,Expense
收入,,5000,,1,,Income
现金,资产,1001,1000,1,Cash,Asset
库存现金,现金,100101,1001,,Cash,Asset
银行存款,资产,1002,1000,,Bank,Asset
备用金,资产,1004,1000,,Cash,Asset
其他货币资金,资产,1012,1000,1,Bank,Asset
银行汇票,其他货币资金,101201,1012,,Bank,Asset
银行本票,其他货币资金,101202,1012,,Bank,Asset
信用卡,其他货币资金,101203,1012,,Bank,Asset
信用卡保证金,其他货币资金,101204,1012,,Bank,Asset
外埠存款,其他货币资金,101205,1012,,Bank,Asset
短期投资,资产,1101,1000,1,,Asset
股票,短期投资,110101,1101,,,Asset
债券,短期投资,110102,1101,,,Asset
基金,短期投资,110103,1101,,,Asset
应收票据,资产,1121,1000,,Receivable,Asset
应收账款,资产,1122,1000,,Receivable,Asset
预付账款,资产,1123,1000,,Payable,Asset
应收股利,资产,1131,1000,,Receivable,Asset
应收利息,资产,1132,1000,,Receivable,Asset
其他应收款,资产,1221,1000,,Receivable,Asset
材料采购,资产,1401,1000,,,Asset
在途物资,资产,1402,1000,,Stock,Asset
原材料,资产,1403,1000,,Stock,Asset
材料成本差异,资产,1404,1000,,Stock Adjustment,Asset
库存商品,资产,1405,1000,,Stock,Asset
商品进销差价,资产,1407,1000,,Stock,Asset
委托加工物资,资产,1408,1000,,Stock,Asset
周转材料,资产,1411,1000,1,Stock,Asset
在库,周转材料,141101,1411,,Stock,Asset
在用,周转材料,141102,1411,,Stock,Asset
摊销,周转材料,141103,1411,,Stock,Asset
包装物,资产,1412,1000,,Stock,Asset
低值易耗品,资产,1413,1000,,Stock,Asset
消耗性生物资产,资产,1421,1000,,Stock,Asset
长期债券投资,资产,1501,1000,1,,Asset
面值,长期债券投资,150101,1501,,,Asset
溢折价,长期债券投资,150102,1501,,,Asset
应计利息,长期债券投资,150103,1501,,,Asset
长期股权投资,资产,1511,1000,,,Asset
固定资产,资产,1601,1000,,Fixed Asset,Asset
累计折旧,资产,1602,1000,,Accumulated Depreciation,Asset
在建工程,资产,1604,1000,,Fixed Asset,Asset
工程物资,资产,1605,1000,1,Fixed Asset,Asset
专用材料,工程物资,160501,1605,,Fixed Asset,Asset
专用设备,工程物资,160502,1605,,Fixed Asset,Asset
工器具,工程物资,160503,1605,,Fixed Asset,Asset
固定资产清理,资产,1606,1000,,Fixed Asset,Asset
生产性生物资产,资产,1621,1000,1,Fixed Asset,Asset
未成熟生产性生物资产,生产性生物资产,162101,1621,,Fixed Asset,Asset
成熟生产性生物资产,生产性生物资产,162102,1621,,Fixed Asset,Asset
生产性生物资产累计折旧,资产,1622,1000,,Depreciation,Asset
无形资产,资产,1701,1000,,,Asset
累计摊销,资产,1702,1000,,,Asset
长期待摊费用,资产,1801,1000,,,Asset
待处理财产损溢,资产,1901,1000,1,,Asset
待处理流动资产损溢,待处理财产损溢,190101,1901,,,Asset
待处理非流动资产损溢,待处理财产损溢,190102,1901,,,Asset
短期借款,负债,2001,2000,,,Liability
应付票据,负债,2201,2000,,Payable,Liability
应付账款,负债,2202,2000,,Payable,Liability
预收账款,负债,2203,2000,,Receivable,Liability
