default_bank_account,银行存款
default_cash_account,库存现金
default_payable_account,应付账款
default_receivable_account,应收账款
round_off_account,圆整抹零
write_off_account,坏账损失
exchange_gain_loss_account,汇兑损失
default_income_account,主营业务收入
default_expense_account,主营业务成本
default_payroll_payable_account,职工工资
default_expense_claim_payable_account,其他应付款
default_discount_account,现金折扣
default_inventory_account,原材料
stock_adjustment_account,库存调整
stock_received_but_not_billed,暂估库存
service_received_but_not_billed,暂估服务
expenses_included_in_valuation,计入物料成本的费用
accumulated_depreciation_account,累计折旧
depreciation_expense_account,折旧摊销费
disposal_account,固定资产清理
asset_received_but_not_billed,暂估资产
capital_work_in_progress_account,在建工程
expenses_included_in_asset_valuation,计入资产的费用
